ds,SPY_Close,SPY_Volume,month,day,Actual_GDP,Actual_nonfarm,Actual_CPI,Actual_PPI,Actual_unemployment rate,Actual_core_PCE,Actual_FOMC,CPI_vs_forecast,CPI_vs_previous,GDP_vs_forecast,GDP_vs_previous,PPI_vs_forecast,PPI_vs_previous,nonfarm_vs_forecast,nonfarm_vs_previous,unemployment rate_vs_forecast,unemployment rate_vs_previous,core_PCE_vs_forecast,core_PCE_vs_previous,FOMC_vs_forecast,FOMC_vs_previous,is_event,days_since_fomc
2024-10-15,576.1021728515625,54203600,10,15,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,19.0
2024-10-16,578.606201171875,30725400,10,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,20.0
2024-10-17,578.6558227539062,34393700,10,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,21.0
2024-10-18,580.8816528320312,37416800,10,18,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,22.0
2024-10-21,579.927734375,36439000,10,21,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,23.0
2024-10-22,579.6196899414062,34183800,10,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,24.0
2024-10-23,574.323486328125,49314600,10,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,25.0
2024-10-24,575.5656127929688,34979900,10,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,26.0
2024-10-25,575.3668823242188,47268200,10,25,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,27.0
2024-10-28,577.1455078125,30174700,10,28,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,28.0
2024-10-29,578.07958984375,42899700,10,29,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,29.0
2024-10-30,576.3306884765625,41435800,10,30,0.028,none event,none event,none event,none event,none event,none event,,,-1.0,-1.0,,,,,,,,,,,1,30.0
2024-10-31,565.0328369140625,60182500,10,31,none event,none event,none event,none event,none event,0.027,none event,,,,,,,,,,,1.0,0.0,,,1,31.0
2024-11-01,567.4176025390625,45667500,11,1,none event,12K,none event,none event,0.041,none event,none event,,,,,,,-1.0,-1.0,0.0,0.0,,,,,1,32.0
2024-11-04,566.1953735351562,38217000,11,4,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,33.0
2024-11-05,573.041748046875,39478300,11,5,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,34.0
2024-11-06,587.2907104492188,68182000,11,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,35.0
2024-11-07,591.831787109375,47233200,11,7,none event,none event,none event,none event,none event,none event,0.0475,,,,,,,,,,,,,0.0,-1.0,1,0.0
2024-11-08,594.3953857421875,46444900,11,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,1.0
2024-11-11,594.9617919921875,37586800,11,11,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,2.0
2024-11-12,593.1135864257812,43006100,11,12,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0
2024-11-13,593.4017333984375,47388600,11,13,none event,none event,0.026,none event,none event,none event,none event,0.0,1.0,,,,,,,,,,,,,1,4.0
2024-11-14,589.5860595703125,38904100,11,14,none event,none event,none event,0.024,none event,none event,none event,,,,,1.0,1.0,,,,,,,,,1,5.0
2024-11-15,582.0343017578125,75988800,11,15,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,6.0
2024-11-18,584.4190673828125,37084100,11,18,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,7.0
2024-11-19,586.555419921875,49412000,11,19,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0
2024-11-20,586.7542114257812,50032600,11,20,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,9.0
2024-11-21,589.904052734375,46750300,11,21,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,10.0
2024-11-22,591.7323608398438,38226400,11,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,11.0
2024-11-25,593.7395629882812,42441400,11,25,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,12.0
2024-11-26,596.8397827148438,45621300,11,26,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,13.0
2024-11-27,595.0313110351562,34000200,11,27,0.028,none event,none event,none event,none event,0.028,none event,,,0.0,-1.0,,,,,,,0.0,1.0,,,1,14.0
2024-11-29,598.7276611328125,30177400,11,29,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,15.0
2024-12-02,599.8008422851562,31746000,12,2,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,16.0
2024-12-03,600.0791015625,26906600,12,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,17.0
2024-12-04,603.8052368164062,42787600,12,4,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,18.0
2024-12-05,602.8116455078125,28762200,12,5,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,19.0
2024-12-06,603.954345703125,31241500,12,6,none event,227K,none event,none event,0.042,none event,none event,,,,,,,1.0,1.0,0.0,1.0,,,,,1,20.0
2024-12-09,600.84423828125,34742700,12,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,21.0
2024-12-10,598.9761352539062,37234500,12,10,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,22.0
2024-12-11,603.6065673828125,28677700,12,11,none event,none event,0.027,none event,none event,none event,none event,0.0,1.0,,,,,,,,,,,,,1,23.0
2024-12-12,600.4964599609375,31543800,12,12,none event,none event,none event,0.03,none event,none event,none event,,,,,1.0,1.0,,,,,,,,,1,24.0
2024-12-13,600.377197265625,35904700,12,13,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,25.0
2024-12-16,602.9407958984375,43695200,12,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,26.0
2024-12-17,600.4566650390625,55773500,12,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,27.0
2024-12-18,582.5609741210938,108248700,12,18,none event,none event,none event,none event,none event,none event,0.045,,,,,,,,,,,,,0.0,-1.0,1,0.0
2024-12-19,582.382080078125,85919500,12,19,0.031,none event,none event,none event,none event,none event,none event,,,1.0,1.0,,,,,,,,,,,1,1.0
2024-12-20,589.3770751953125,125716700,12,20,none event,none event,none event,none event,none event,0.028,none event,,,,,,,,,,,-1.0,0.0,,,1,2.0
2024-12-23,592.9064331054688,57635800,12,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0
2024-12-24,599.49658203125,33160100,12,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,4.0
2024-12-26,599.5364990234375,41219100,12,26,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,5.0
2024-12-27,593.2254638671875,64969300,12,27,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,6.0
2024-12-30,586.455810546875,56578800,12,30,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,7.0
2024-12-31,584.322265625,57052700,12,31,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0
2025-01-02,582.8865966796875,50204000,1,2,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,9.0
2025-01-03,590.1746215820312,37888500,1,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,10.0
2025-01-06,593.5744018554688,47679400,1,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,11.0
2025-01-07,586.8646240234375,60393100,1,7,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,12.0
2025-01-08,587.7219848632812,47304700,1,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,13.0
2025-01-10,578.7489624023438,73105000,1,10,none event,256K,none event,none event,0.041,none event,none event,,,,,,,1.0,1.0,-1.0,-1.0,,,,,1,14.0
2025-01-13,579.6463012695312,47910100,1,13,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,15.0
2025-01-14,580.4439086914062,48420600,1,14,none event,none event,none event,0.033,none event,none event,none event,,,,,-1.0,1.0,,,,,,,,,1,16.0
2025-01-15,591.002197265625,56900200,1,15,none event,none event,0.029,none event,none event,none event,none event,0.0,1.0,,,,,,,,,,,,,1,17.0
2025-01-16,589.8656005859375,43319700,1,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,18.0
2025-01-17,595.7877807617188,58070600,1,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,19.0
2025-01-21,601.2413330078125,42532900,1,21,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,20.0
2025-01-22,604.6211547851562,48196000,1,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,21.0
2025-01-23,607.9212646484375,41152100,1,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,22.0
2025-01-24,606.1465454101562,34604700,1,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,23.0
2025-01-27,597.5723876953125,70361100,1,27,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,24.0
2025-01-28,602.7069702148438,44433300,1,28,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,25.0
2025-01-29,600.0050659179688,37177400,1,29,none event,none event,none event,none event,none event,none event,0.045,,,,,,,,,,,,,0.0,0.0,1,0.0
2025-01-30,603.225341796875,39281300,1,30,0.023,none event,none event,none event,none event,none event,none event,,,-1.0,-1.0,,,,,,,,,,,1,1.0
2025-01-31,600.0150146484375,66671500,1,31,none event,none event,none event,none event,none event,0.028,none event,,,,,,,,,,,0.0,0.0,,,1,2.0
2025-02-03,595.9771728515625,65857200,2,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0
2025-02-04,599.9751586914062,33457800,2,4,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,4.0
2025-02-05,602.4077758789062,30653100,2,5,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,5.0
2025-02-06,604.5015258789062,35771500,2,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,6.0
2025-02-07,598.9682006835938,50788500,2,7,none event,143K,none event,none event,0.04,none event,none event,,,,,,,-1.0,-1.0,-1.0,-1.0,,,,,1,7.0
2025-02-10,603.035888671875,26048700,2,10,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0
2025-02-11,603.4945678710938,30056700,2,11,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,9.0
