ds,SPY_Close,SPY_Volume,month,day,Actual_GDP,Actual_nonfarm,Actual_CPI,Actual_PPI,Actual_unemployment rate,Actual_core_PCE,Actual_FOMC,CPI_vs_forecast,CPI_vs_previous,GDP_vs_forecast,GDP_vs_previous,PPI_vs_forecast,PPI_vs_previous,nonfarm_vs_forecast,nonfarm_vs_previous,unemployment rate_vs_forecast,unemployment rate_vs_previous,core_PCE_vs_forecast,core_PCE_vs_previous,FOMC_vs_forecast,FOMC_vs_previous,is_event,days_since_fomc,isr_holiday
2024-05-09,5214.080078125,3727370000,5,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,6.0,0
2024-05-10,5222.68017578125,3617900000,5,10,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,7.0,0
2024-05-13,5221.419921875,4255710000,5,13,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0,1
2024-05-14,5246.68017578125,4763580000,5,14,none event,none event,none event,0.022,none event,none event,none event,,,,,0.0,1.0,,,,,,,,,1,9.0,1
2024-05-15,5308.14990234375,4360810000,5,15,none event,none event,0.034,none event,none event,none event,none event,0.0,-1.0,,,,,,,,,,,,,1,10.0,0
2024-05-16,5297.10009765625,3817470000,5,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,11.0,0
2024-05-17,5303.27001953125,3578120000,5,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,12.0,0
2024-05-20,5308.1298828125,3420100000,5,20,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,13.0,0
2024-05-21,5321.41015625,3662240000,5,21,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,14.0,0
2024-05-22,5307.009765625,3847130000,5,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,15.0,0
2024-05-23,5267.83984375,3869520000,5,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,16.0,0
